,wine_type,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality,sulphates_level_medium,sulphates_level_minimum
0,1,7.4,0.7,0.0,1.9,34.0,0.9978,3.23,0.56,9.8,5.0,1,0
1,1,7.8,0.88,0.0,2.6,67.0,0.9968,3.2,0.68,9.8,5.0,1,0
2,1,7.8,0.76,0.04,2.3,54.0,0.997,3.26,0.65,9.8,5.0,1,0
3,1,7.8,0.28,0.02,1.9,60.0,0.998,3.16,0.58,9.8,5.0,1,0
4,1,7.4,0.66,0.0,1.8,56.5,0.9978,3.51,0.56,9.4,5.0,1,0
5,1,7.9,0.6,0.06,1.6,59.0,0.9964,3.3,0.46,9.4,5.0,0,0
6,1,7.3,0.65,0.0,1.2,21.0,0.9946,3.39,0.47,9.45,7.0,0,0
7,1,7.8,0.58,0.02,2.0,18.0,0.9968,3.36,0.57,9.5,7.0,1,0
8,1,7.5,0.5,0.05,1.9,102.0,0.9978,3.35,0.5549999999999999,10.5,5.0,0,0
9,1,6.7,0.58,0.08,1.8,65.0,0.9959,3.28,0.54,9.2,5.0,1,0
10,1,5.6,0.615,0.0,1.6,59.0,0.9943,3.315,0.52,9.9,5.0,1,0
11,1,7.8,0.61,0.29,1.6,29.0,0.9974,3.26,0.71,9.1,5.0,0,0
12,1,8.9,0.62,0.18,3.8,145.0,0.9986,3.16,0.88,9.2,5.0,0,0
13,1,8.9,0.62,0.19,3.9,148.0,0.9986,3.17,0.93,9.2,5.0,0,0
14,1,8.5,0.5900000000000001,0.23500000000000001,1.8,103.0,0.9969,3.165,0.75,9.25,5.0,0,0
15,1,8.1,0.56,0.28,1.7,56.0,0.9968,3.11,1.28,9.3,5.0,0,0
16,1,7.4,0.59,0.08,1.8,29.0,0.9969,3.38,0.5,9.0,4.0,0,0
17,1,7.9,0.32,0.51,1.8,56.0,0.9969,3.04,1.08,9.2,6.0,0,0
18,1,7.75,0.22,0.48,1.8,60.0,0.9968,3.39,0.53,9.4,6.0,1,0
19,1,7.6,0.39,0.31,1.8,71.0,0.99685,3.52,0.65,9.7,5.0,1,0
20,1,7.9,0.43,0.21,1.6,63.5,0.9966,3.17,0.5900000000000001,9.5,5.0,0,0
21,1,8.5,0.49,0.11,2.3,67.0,0.9968,3.17,0.53,9.4,5.0,1,0
22,1,6.9,0.4,0.14,2.4,40.0,0.9968,3.43,0.63,9.7,5.0,1,0
23,1,6.3,0.39,0.16,1.4,23.0,0.9955,3.34,0.56,9.3,5.0,1,0
24,1,7.6,0.41,0.24,1.8,11.0,0.9962,3.28,0.59,9.5,5.0,1,0
25,1,7.1,0.71,0.0,1.9,35.0,0.9972,3.47,0.55,9.4,5.0,1,0
26,1,7.8,0.645,0.0,2.0,16.0,0.9964,3.38,0.59,9.8,5.0,1,0
27,1,6.7,0.675,0.0,2.4,82.0,0.9958,3.35,0.54,10.1,5.0,1,0
28,1,6.9,0.685,0.0,2.5,37.0,0.9966,3.46,0.57,10.6,6.0,1,0
29,1,6.9,0.655,0.12,2.3,113.0,0.9966,3.17,0.66,9.8,5.0,1,0
30,1,6.9,0.605,0.12,2.4,83.0,0.9966,3.45,0.52,9.4,6.0,1,0
31,1,5.2,0.625,0.25,1.8,50.0,0.9957,3.38,0.55,9.2,5.0,1,0
32,1,7.8,0.645,0.0,5.5,18.0,0.9986,3.4,0.55,9.6,6.0,1,0
33,1,7.8,0.6,0.14,2.4,15.0,0.9975,3.42,0.6,9.649999999999999,6.0,1,0
